Nome,Status
BOSCO SARAIVA,A Proposicao procurada nao existe
PERPÉTUA ALMEIDA,"Tramitando em Conjunto, Arquivada, Tramitando em Conjunto"
DELEGADO ÉDER MAURO,A Proposicao procurada nao existe
SILAS CÂMARA,"Devolvida ao Autor, Aguardando Criação de Comissão Temporária, Aguardando Parecer, Aguardando Parecer"
CLEBER VERDE,"Urgência (Art. 155, RICD), Arquivada"
LUIZ CARLOS,"Tramitando em Conjunto, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto"
FERNANDO RODOLFO,A Proposicao procurada nao existe
FLAVIANO MELO,"Arquivada, Tramitando em Conjunto"
MARCELO RAMOS,A Proposicao procurada nao existe
WELLINGTON ROBERTO,"Arquivada, Arquivada"
MARRECA FILHO,A Proposicao procurada nao existe
VANDER LOUBET,"Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto"
HÉLIO LEITE,A Proposicao procurada nao existe
NIVALDO ALBUQUERQUE,A Proposicao procurada nao existe
FABIO REIS,"Arquivada, Aguardando Apreciação pelo Senado Federal, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto"
FÉLIX MENDONÇA JÚNIOR,"Tramitando em Conjunto, Aguardando Designação de Relator, Retirado pelo Autor, Arquivada, Tramitando em Conjunto, Arquivada, Arquivada, Tramitando em Conjunto, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Parecer, Pronta para Pauta, Arquivada"
EDIO LOPES,A Proposicao procurada nao existe
JOÃO DANIEL,A Proposicao procurada nao existe
CÁSSIO ANDRADE,A Proposicao procurada nao existe
OLIVAL MARQUES,A Proposicao procurada nao existe
ACÁCIO FAVACHO,A Proposicao procurada nao existe
ANDRÉ FIGUEIREDO,"Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Retirado pelo Autor, Arquivada, Tramitando em Conjunto, Pronta para Pauta, Pronta para Pauta"
MARX BELTRÃO,A Proposicao procurada nao existe
BETO PEREIRA,A Proposicao procurada nao existe
JHONATAN DE JESUS,"Aguardando Designação de Relator, Aguardando Designação de Relator, Aguardando Designação de Relator"
TADEU ALENCAR,A Proposicao procurada nao existe
VAIDON OLIVEIRA,A Proposicao procurada nao existe
DANIEL ALMEIDA,"Tramitando em Conjunto, Arquivada"
AIRTON FALEIRO,A Proposicao procurada nao existe
TONINHO WANDSCHEER,A Proposicao procurada nao existe
ENIO VERRI,A Proposicao procurada nao existe
JOÃO MARCELO SOUZA,A Proposicao procurada nao existe
CELSO SABINO,A Proposicao procurada nao existe
ROBERTO DE LUCENA,"Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto"
CORONEL CHRISÓSTOMO,A Proposicao procurada nao existe
AFONSO MOTTA,A Proposicao procurada nao existe
MARIA DO ROSÁRIO,A Proposicao procurada nao existe
ALAN RICK,A Proposicao procurada nao existe
HIRAN GONÇALVES,A Proposicao procurada nao existe
FERNANDO MONTEIRO,A Proposicao procurada nao existe
DAMIÃO FELICIANO,"Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal"
GONZAGA PATRIOTA,"Arquivada, Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto, Pronta para Pauta, Aguardando Apreciação pelo Senado Federal, Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro, Retirado pelo Autor, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
JÉSSICA SALES,A Proposicao procurada nao existe
PAULO TEIXEIRA,"Aguardando Designação de Relator, Arquivada, Arquivada, Pronta para Pauta"
CARLOS VERAS,A Proposicao procurada nao existe
FLAVIO NOGUEIRA,A Proposicao procurada nao existe
HILDO ROCHA,A Proposicao procurada nao existe
OSIRES DAMASO,A Proposicao procurada nao existe
FABIO SCHIOCHET,A Proposicao procurada nao existe
GLEISI HOFFMANN,A Proposicao procurada nao existe
LUIZIANNE LINS,A Proposicao procurada nao existe
DELEGADO PABLO,A Proposicao procurada nao existe
CHRISTIANE DE SOUZA YARED,A Proposicao procurada nao existe
NICOLETTI,A Proposicao procurada nao existe
RICARDO TEOBALDO,A Proposicao procurada nao existe
EDMILSON RODRIGUES,A Proposicao procurada nao existe
ULDURICO JUNIOR,A Proposicao procurada nao existe
VICENTINHO JÚNIOR,A Proposicao procurada nao existe
NERI GELLER,A Proposicao procurada nao existe
NILTO TATTO,A Proposicao procurada nao existe
VERMELHO,A Proposicao procurada nao existe
LUIZ NISHIMORI,Arquivada
LUCAS VERGILIO,A Proposicao procurada nao existe
ÁTILA LINS,A Proposicao procurada nao existe
DAGOBERTO NOGUEIRA,A Proposicao procurada nao existe
JOSÉ PRIANTE,A Proposicao procurada nao existe
JULIAN LEMOS,A Proposicao procurada nao existe
JOÃO MAIA,Arquivada
DULCE MIRANDA,A Proposicao procurada nao existe
BETO FARO,A Proposicao procurada nao existe
VINICIUS GURGEL,"Arquivada, Arquivada"
PR. MARCO FELICIANO,A Proposicao procurada nao existe
SILVIO COSTA FILHO,A Proposicao procurada nao existe
LEÔNIDAS CRISTINO,A Proposicao procurada nao existe
ELMAR NASCIMENTO,A Proposicao procurada nao existe
JÚLIO CESAR,Aguardando Designação de Relator
PEDRO LUCAS FERNANDES,A Proposicao procurada nao existe
ARTHUR OLIVEIRA MAIA,Tramitando em Conjunto
MARGARETE COELHO,A Proposicao procurada nao existe
BETO ROSADO,A Proposicao procurada nao existe
HEITOR FREIRE,A Proposicao procurada nao existe
LEONARDO MONTEIRO,A Proposicao procurada nao existe
LINCOLN PORTELA,"Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Pronta para Pauta, Arquivada, Tramitando em Conjunto"
FÁBIO HENRIQUE,A Proposicao procurada nao existe
GIL CUTRIM,A Proposicao procurada nao existe
MAURÍCIO DZIEDRICKI,A Proposicao procurada nao existe
MARCELO NILO,A Proposicao procurada nao existe
CÉLIO SILVEIRA,A Proposicao procurada nao existe
VINICIUS CARVALHO,A Proposicao procurada nao existe
SAMUEL MOREIRA,A Proposicao procurada nao existe
DANIEL FREITAS,A Proposicao procurada nao existe
DARCI DE MATOS,A Proposicao procurada nao existe
DOMINGOS NETO,A Proposicao procurada nao existe
ALEX MANENTE,A Proposicao procurada nao existe
JORGE SOLLA,A Proposicao procurada nao existe
ALINE GURGEL,A Proposicao procurada nao existe
ALEX SANTANA,A Proposicao procurada nao existe
ELI CORRÊA FILHO,"Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Arquivada, Tramitando em Conjunto"
JOSÉ AIRTON FÉLIX CIRILO,A Proposicao procurada nao existe
EUCLYDES PETTERSEN,A Proposicao procurada nao existe
CAPITÃO AUGUSTO,A Proposicao procurada nao existe
IGOR TIMO,A Proposicao procurada nao existe
RUY CARNEIRO,"Devolvida ao Autor, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada"
PROFESSOR ALCIDES,A Proposicao procurada nao existe
MÁRCIO BIOLCHI,A Proposicao procurada nao existe
BILAC PINTO,A Proposicao procurada nao existe
MÁRCIO MARINHO,"Arquivada, Tramitando em Conjunto, Retirado pelo Autor, Tramitando em Conjunto, Arquivada, Retirado pelo Autor"
VAVÁ MARTINS,A Proposicao procurada nao existe
MANUEL MARCOS,A Proposicao procurada nao existe
RAFAEL MOTTA,A Proposicao procurada nao existe
JOSÉ GUIMARÃES,"Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Tramitando em Conjunto"
TEREZA NELMA,A Proposicao procurada nao existe
REINHOLD STEPHANES JUNIOR,A Proposicao procurada nao existe
ROBERTO ALVES,A Proposicao procurada nao existe
ROBÉRIO MONTEIRO,A Proposicao procurada nao existe
JERÔNIMO GOERGEN,"Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Urgência (Art. 155, RICD), Aguardando Parecer, Aguardando Designação de Relator, Arquivada, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto"
FREI ANASTACIO RIBEIRO,A Proposicao procurada nao existe
EVANDRO ROMAN,A Proposicao procurada nao existe
GIACOBO,"Aguardando Designação de Relator, Arquivada, Aguardando Designação de Relator"
BALEIA ROSSI,A Proposicao procurada nao existe
NELSON PELLEGRINO,A Proposicao procurada nao existe
PATRUS ANANIAS,A Proposicao procurada nao existe
MARÍLIA ARRAES,A Proposicao procurada nao existe
VANDERLEI MACRIS,Tramitando em Conjunto
JOSÉ NUNES,Aguardando Designação de Relator
PAULO BENGTSON,A Proposicao procurada nao existe
MISAEL VARELLA,A Proposicao procurada nao existe
SHÉRIDAN,A Proposicao procurada nao existe
EXPEDITO NETTO,A Proposicao procurada nao existe
EROS BIONDINI,A Proposicao procurada nao existe
SEVERINO PESSOA,A Proposicao procurada nao existe
RUBENS OTONI,A Proposicao procurada nao existe
JANDIRA FEGHALI,A Proposicao procurada nao existe
ALCEU MOREIRA,"Tramitando em Conjunto, Aguardando Parecer, Aguardando Parecer, Aguardando Designação de Relator, Arquivada, Aguardando Apreciação pelo Senado Federal"
ANDRÉ ABDON,A Proposicao procurada nao existe
ROBERTO PESSOA,A Proposicao procurada nao existe
VINICIUS FARAH,A Proposicao procurada nao existe
LUCIANO DUCCI,A Proposicao procurada nao existe
JOÃO CAMPOS,"Aguardando Designação de Relator, Arquivada"
GELSON AZEVEDO,A Proposicao procurada nao existe
CARLOS SAMPAIO,"Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Retirado pelo Autor, Tramitando em Conjunto, Tramitando em Conjunto, Retirado pelo Autor, Aguardando Designação de Relator, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto"
GUSTINHO RIBEIRO,A Proposicao procurada nao existe
MARA ROCHA,A Proposicao procurada nao existe
MARCON,"Arquivada, Devolvida ao Autor, Arquivada, Arquivada, Tramitando em Conjunto"
DARCÍSIO PERONDI,A Proposicao procurada nao existe
DOMINGOS SÁVIO,"Tramitando em Conjunto, Tramitando em Conjunto"
NEREU CRISPIM,A Proposicao procurada nao existe
PEDRO UCZAI,"Aguardando Parecer, Prioridade (Art. 151, II, RICD), Arquivada, Tramitando em Conjunto, Arquivada"
EDUARDO CURY,A Proposicao procurada nao existe
WILSON SANTIAGO,A Proposicao procurada nao existe
ZÉ SILVA,"Pronta para Pauta, Aguardando Designação de Relator, Aguardando Designação de Relator, Aguardando Parecer, Tramitando em Conjunto"
MARLON SANTOS,A Proposicao procurada nao existe
VITOR LIPPI,A Proposicao procurada nao existe
RONALDO CARLETTO,A Proposicao procurada nao existe
MARCOS AURÉLIO SAMPAIO,A Proposicao procurada nao existe
PAULO GUEDES,A Proposicao procurada nao existe
ANTONIO BRITO,"Aguardando Designação de Relator, Arquivada, Pronta para Pauta, Arquivada, Tramitando em Conjunto"
HUGO MOTTA,"Tramitando em Conjunto, Arquivada"
MÁRCIO LABRE,A Proposicao procurada nao existe
JESUS SÉRGIO,A Proposicao procurada nao existe
PAULO ABI-ACKEL,"Tramitando em Conjunto, Aguardando Designação de Relator"
SERGIO SOUZA,Tramitando em Conjunto
AFONSO HAMM,"Transformado em Norma Jurídica, Pronta para Pauta, Urgência (Art. 155, RICD)"
SILVIA CRISTINA,A Proposicao procurada nao existe
ALINE SLEUTJES,A Proposicao procurada nao existe
ORLANDO SILVA,A Proposicao procurada nao existe
ALICE PORTUGAL,Tramitando em Conjunto
BOHN GASS,A Proposicao procurada nao existe
CLAUDIO CAJADO,A Proposicao procurada nao existe
RAUL HENRY,"Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Arquivada, Arquivada"
CAMILO CAPIBERIBE,A Proposicao procurada nao existe
AUGUSTO COUTINHO,Devolvida ao Autor
MÁRIO NEGROMONTE JR.,A Proposicao procurada nao existe
DANRLEI DE DEUS HINTERHOLZ,"Retirado pelo Autor, Arquivada, Aguardando Parecer"
GENINHO ZULIANI,A Proposicao procurada nao existe
CELSO MALDANER,Aguardando Designação de Relator
GEOVANIA DE SÁ,A Proposicao procurada nao existe
TIAGO DIMAS,A Proposicao procurada nao existe
ANDRÉ DE PAULA,A Proposicao procurada nao existe
WALTER ALVES,A Proposicao procurada nao existe
JOSÉ RICARDO,A Proposicao procurada nao existe
BACELAR,A Proposicao procurada nao existe
AROLDO MARTINS,A Proposicao procurada nao existe
ÁTILA LIRA,A Proposicao procurada nao existe
BENEDITA DA SILVA,"Arquivada, Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto"
POMPEO DE MATTOS,A Proposicao procurada nao existe
DIMAS FABIANO,"Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Arquivada, Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro, Aguardando Designação de Relator, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer"
DENIS BEZERRA,A Proposicao procurada nao existe
ZÉ VITOR,A Proposicao procurada nao existe
FLORDELIS,A Proposicao procurada nao existe
ROSANGELA GOMES,A Proposicao procurada nao existe
CARLOS HENRIQUE GAGUIM,A Proposicao procurada nao existe
TITO,A Proposicao procurada nao existe
PROFESSORA ROSA NEIDE,A Proposicao procurada nao existe
CACÁ LEÃO,A Proposicao procurada nao existe
JAQUELINE CASSOL,A Proposicao procurada nao existe
FAUSTO PINATO,A Proposicao procurada nao existe
JUSCELINO FILHO,A Proposicao procurada nao existe
MÁRIO HERINGER,Arquivada
GUILHERME DERRITE,A Proposicao procurada nao existe
TALÍRIA PETRONE,A Proposicao procurada nao existe
ADRIANO DO BALDY,A Proposicao procurada nao existe
VALMIR ASSUNÇÃO,A Proposicao procurada nao existe
CRISTIANO VALE,A Proposicao procurada nao existe
FÁBIO MITIDIERI,A Proposicao procurada nao existe
JOAQUIM PASSARINHO,A Proposicao procurada nao existe
EVAIR VIEIRA DE MELO,A Proposicao procurada nao existe
PAULO FREIRE COSTA,A Proposicao procurada nao existe
MARCELO FREIXO,A Proposicao procurada nao existe
BOCA ABERTA,A Proposicao procurada nao existe
REGINALDO LOPES,Arquivada
ERIKA KOKAY,"Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Designação de Relator, Aguardando Parecer, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Retirado pelo Autor, Tramitando em Conjunto"
JÚLIO DELGADO,A Proposicao procurada nao existe
ALEXANDRE PADILHA,A Proposicao procurada nao existe
DAVID SOARES,A Proposicao procurada nao existe
LEUR LOMANTO JÚNIOR,A Proposicao procurada nao existe
RUBENS BUENO,"Arquivada, Tramitando em Conjunto, Arquivada, Aguardando Designação de Relator, Tramitando em Conjunto, Ordinária (Art. 151, III, RICD)"
PEDRO WESTPHALEN,A Proposicao procurada nao existe
ABÍLIO SANTANA,A Proposicao procurada nao existe
AFONSO FLORENCE,A Proposicao procurada nao existe
SEBASTIÃO OLIVEIRA,A Proposicao procurada nao existe
JOSÉ ROCHA,Arquivada
ALIEL MACHADO,A Proposicao procurada nao existe
RODRIGO DE CASTRO,A Proposicao procurada nao existe
JHC,A Proposicao procurada nao existe
GENECIAS NORONHA,A Proposicao procurada nao existe
GLAUSTIN FOKUS,A Proposicao procurada nao existe
JUNINHO DO PNEU,A Proposicao procurada nao existe
GURGEL,"Arquivada, Arquivada"
HELDER SALOMÃO,A Proposicao procurada nao existe
IDILVAN ALENCAR,A Proposicao procurada nao existe
JEFFERSON CAMPOS,Tramitando em Conjunto
NILSON PINTO,A Proposicao procurada nao existe
RENATA ABREU,A Proposicao procurada nao existe
LOESTER TRUTIS,A Proposicao procurada nao existe
JÚNIOR MANO,A Proposicao procurada nao existe
VALDEVAN NOVENTA,A Proposicao procurada nao existe
ZECA DIRCEU,A Proposicao procurada nao existe
EDUARDO BISMARCK,A Proposicao procurada nao existe
PROFESSORA DAYANE PIMENTEL,A Proposicao procurada nao existe
GIOVANI CHERINI,"Aguardando Parecer, Tramitando em Conjunto, Transformado em Norma Jurídica, Aguardando Designação - Aguardando Devolução de Relator que deixou de ser Membro, Arquivada, Aguardando Designação de Relator, Ordinária (Art. 151, III, RICD), Retirado pelo Autor, Tramitando em Conjunto, Devolvida ao Autor, Aguardando Designação de Relator, Aguardando Parecer, Arquivada, Pronta para Pauta, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto"
PAULO PIMENTA,Arquivada
DIEGO GARCIA,A Proposicao procurada nao existe
ALESSANDRO MOLON,"Aguardando Parecer, Aguardando Designação de Relator, Tramitando em Conjunto, Arquivada"
ALEXANDRE SERFIOTIS,A Proposicao procurada nao existe
MARCOS PEREIRA,A Proposicao procurada nao existe
MARIA ROSAS,A Proposicao procurada nao existe
WALDENOR PEREIRA,A Proposicao procurada nao existe
ANGELA AMIN,A Proposicao procurada nao existe
PADRE JOÃO,"Pronta para Pauta, Aguardando Designação de Relator, Aguardando Designação de Relator"
IRACEMA PORTELLA,"Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Designação de Relator"
CARLOS ZARATTINI,"Arquivada, Tramitando em Conjunto"
ODAIR CUNHA,A Proposicao procurada nao existe
HENRIQUE FONTANA,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Transformado em Norma Jurídica"
DRA. VANDA MILANI,A Proposicao procurada nao existe
CAPITÃO WAGNER,A Proposicao procurada nao existe
MARGARIDA SALOMÃO,A Proposicao procurada nao existe
NATÁLIA BONAVIDES,A Proposicao procurada nao existe
OTONI DE PAULA,A Proposicao procurada nao existe
DR. JAZIEL,A Proposicao procurada nao existe
CEZINHA DE MADUREIRA,A Proposicao procurada nao existe
MARINA SANTOS,A Proposicao procurada nao existe
ALTINEU CÔRTES,A Proposicao procurada nao existe
FELIPE FRANCISCHINI,A Proposicao procurada nao existe
