Nome,Arquivados,Retirados,Tramitando,Aguardando,Total
BOSCO SARAIVA,0,0,0,0,0
LUIZ CARLOS,0,0,7,0,7
DELEGADO ÉDER MAURO,0,0,0,0,0
FERNANDO RODOLFO,0,0,0,0,0
MARRECA FILHO,0,0,0,0,0
WELLINGTON ROBERTO,0,0,0,0,0
VANDER LOUBET,0,0,2,1,3
CLEBER VERDE,1,0,1,0,2
FLAVIANO MELO,0,0,0,0,0
FABIO REIS,0,0,1,0,1
FÉLIX MENDONÇA JÚNIOR,0,0,4,2,6
JHONATAN DE JESUS,0,0,0,0,0
BETO PEREIRA,0,0,0,0,0
TADEU ALENCAR,0,0,0,0,0
CÁSSIO ANDRADE,0,0,0,0,0
JOÃO DANIEL,0,0,0,0,0
TONINHO WANDSCHEER,0,0,0,0,0
ENIO VERRI,0,0,0,0,0
HÉLIO LEITE,0,0,0,0,0
MARCELO RAMOS,0,0,0,0,0
PERPÉTUA ALMEIDA,0,0,1,0,1
ANDRÉ FIGUEIREDO,0,0,0,3,3
CELSO SABINO,0,0,0,0,0
HIRAN GONÇALVES,0,0,0,0,0
VAIDON OLIVEIRA,0,0,0,0,0
OLIVAL MARQUES,0,0,0,0,0
SILAS CÂMARA,0,0,0,0,0
DAMIÃO FELICIANO,0,0,0,1,1
JÉSSICA SALES,0,0,0,0,0
ROBERTO DE LUCENA,0,0,2,1,3
GONZAGA PATRIOTA,1,0,2,3,6
CARLOS VERAS,0,0,0,0,0
EDIO LOPES,1,0,0,0,1
MARIA DO ROSÁRIO,1,0,1,0,2
CORONEL CHRISÓSTOMO,0,0,0,0,0
FABIO SCHIOCHET,0,0,0,0,0
LUIZIANNE LINS,0,0,0,0,0
NIVALDO ALBUQUERQUE,0,0,0,0,0
NICOLETTI,0,0,0,0,0
ALAN RICK,0,0,0,0,0
RICARDO TEOBALDO,0,0,0,0,0
GLEISI HOFFMANN,0,0,0,0,0
OSIRES DAMASO,0,0,0,0,0
FLAVIO NOGUEIRA,0,0,0,0,0
EDMILSON RODRIGUES,0,0,0,0,0
ULDURICO JUNIOR,0,0,0,0,0
VICENTINHO JÚNIOR,0,0,0,0,0
DELEGADO PABLO,0,0,0,0,0
MARX BELTRÃO,0,0,0,0,0
NILTO TATTO,0,0,0,0,0
HILDO ROCHA,0,0,0,0,0
VERMELHO,0,0,0,0,0
NERI GELLER,0,0,0,0,0
DANIEL ALMEIDA,0,0,0,1,1
ACÁCIO FAVACHO,0,0,0,0,0
AIRTON FALEIRO,0,0,0,0,0
VINICIUS GURGEL,0,0,0,0,0
PR. MARCO FELICIANO,0,0,0,0,0
DULCE MIRANDA,0,0,0,0,0
JÚLIO CESAR,0,0,1,0,1
PEDRO LUCAS FERNANDES,0,0,0,0,0
JOSÉ PRIANTE,0,0,0,0,0
MARGARETE COELHO,0,0,0,0,0
HEITOR FREIRE,0,0,0,0,0
CÉLIO SILVEIRA,0,0,0,0,0
MARCELO NILO,0,0,0,0,0
DOMINGOS NETO,0,0,0,0,0
BETO ROSADO,0,0,0,0,0
LUIZ NISHIMORI,0,0,1,0,1
PAULO TEIXEIRA,0,0,1,2,3
ALINE GURGEL,0,0,0,0,0
ÁTILA LINS,0,1,2,0,3
JOSÉ AIRTON FÉLIX CIRILO,0,0,0,0,0
BETO FARO,0,0,0,0,0
SILVIO COSTA FILHO,0,0,0,0,0
SAMUEL MOREIRA,0,0,0,0,0
CAPITÃO AUGUSTO,0,0,0,0,0
PROFESSOR ALCIDES,0,0,0,0,0
EUCLYDES PETTERSEN,0,0,0,0,0
JULIAN LEMOS,0,0,0,0,0
BILAC PINTO,0,0,0,0,0
IGOR TIMO,0,0,0,0,0
AFONSO MOTTA,0,0,0,0,0
JOSÉ GUIMARÃES,0,0,0,0,0
RUY CARNEIRO,0,0,1,0,1
JERÔNIMO GOERGEN,1,0,0,2,3
ARTHUR OLIVEIRA MAIA,0,1,2,3,6
ROBÉRIO MONTEIRO,0,0,0,0,0
LEONARDO MONTEIRO,0,0,0,0,0
MÁRCIO MARINHO,0,0,6,1,7
NELSON PELLEGRINO,0,0,0,0,0
GIACOBO,0,0,0,1,1
VINICIUS CARVALHO,0,0,0,0,0
VAVÁ MARTINS,0,0,0,0,0
GIL CUTRIM,0,0,0,0,0
PAULO BENGTSON,0,0,0,0,0
DARCI DE MATOS,0,0,0,0,0
PATRUS ANANIAS,0,0,0,0,0
DAGOBERTO NOGUEIRA,0,0,0,0,0
JORGE SOLLA,0,0,0,0,0
ROBERTO ALVES,0,0,0,0,0
REINHOLD STEPHANES JUNIOR,0,0,0,0,0
EVANDRO ROMAN,0,0,0,0,0
SHÉRIDAN,0,0,0,0,0
ELMAR NASCIMENTO,0,0,0,0,0
SEVERINO PESSOA,0,0,0,0,0
RUBENS OTONI,0,0,0,0,0
RAFAEL MOTTA,0,0,0,0,0
FERNANDO MONTEIRO,0,0,0,0,0
FREI ANASTACIO RIBEIRO,0,0,0,0,0
CHRISTIANE DE SOUZA YARED,0,0,0,0,0
MISAEL VARELLA,0,0,0,0,0
LUCAS VERGILIO,0,0,0,0,0
ELI CORRÊA FILHO,0,0,0,0,0
BALEIA ROSSI,0,0,0,0,0
JANDIRA FEGHALI,1,0,1,1,3
JOÃO MAIA,1,0,0,0,1
JOÃO MARCELO SOUZA,0,0,0,0,0
GELSON AZEVEDO,0,0,0,0,0
TEREZA NELMA,0,0,0,0,0
VINICIUS FARAH,0,0,0,0,0
ALCEU MOREIRA,0,0,5,4,9
LEÔNIDAS CRISTINO,0,0,0,0,0
MAURÍCIO DZIEDRICKI,0,0,0,0,0
VANDERLEI MACRIS,0,0,0,2,2
EDUARDO CURY,0,0,0,0,0
RONALDO CARLETTO,0,0,0,0,0
ANTONIO BRITO,0,0,1,0,1
ZÉ SILVA,0,0,0,0,0
MARCON,0,0,0,1,1
JOÃO CAMPOS,0,0,1,2,3
MÁRCIO LABRE,0,0,0,0,0
EXPEDITO NETTO,0,0,0,0,0
WILSON SANTIAGO,0,0,0,0,0
MARÍLIA ARRAES,0,0,0,0,0
SERGIO SOUZA,0,0,0,0,0
JESUS SÉRGIO,0,0,0,0,0
MÁRCIO BIOLCHI,0,0,0,0,0
MARA ROCHA,0,0,0,0,0
HUGO MOTTA,0,0,2,3,5
ANDRÉ ABDON,0,0,0,0,0
ALEX MANENTE,0,0,0,0,0
DARCÍSIO PERONDI,1,0,0,0,1
BOHN GASS,0,0,0,0,0
DANIEL FREITAS,0,0,0,0,0
EROS BIONDINI,0,0,1,0,1
LINCOLN PORTELA,0,0,1,2,3
ALEX SANTANA,0,0,0,0,0
AUGUSTO COUTINHO,0,0,1,1,2
DOMINGOS SÁVIO,0,0,0,2,2
ANDRÉ DE PAULA,0,0,0,2,2
WALTER ALVES,0,0,0,0,0
CARLOS SAMPAIO,0,0,0,0,0
BACELAR,0,0,1,0,1
GEOVANIA DE SÁ,0,0,0,0,0
SILVIA CRISTINA,0,0,0,0,0
CLAUDIO CAJADO,0,0,0,0,0
MÁRIO NEGROMONTE JR.,0,0,0,0,0
ORLANDO SILVA,0,0,0,0,0
GENINHO ZULIANI,0,0,0,0,0
RAUL HENRY,1,0,0,0,1
ROSANGELA GOMES,0,0,0,0,0
NEREU CRISPIM,0,0,0,0,0
MANUEL MARCOS,0,0,0,0,0
CACÁ LEÃO,0,0,0,0,0
VITOR LIPPI,0,0,0,0,0
POMPEO DE MATTOS,0,0,0,0,0
TALÍRIA PETRONE,0,0,0,0,0
MÁRIO HERINGER,0,0,0,0,0
VALMIR ASSUNÇÃO,0,0,1,1,2
CARLOS HENRIQUE GAGUIM,0,0,0,0,0
CRISTIANO VALE,0,0,0,0,0
ZÉ VITOR,0,0,0,0,0
FAUSTO PINATO,0,0,0,0,0
TIAGO DIMAS,0,0,0,0,0
FÁBIO MITIDIERI,0,0,0,0,0
ERIKA KOKAY,1,0,4,2,7
PEDRO UCZAI,0,0,0,4,4
BOCA ABERTA,0,0,0,0,0
JUSCELINO FILHO,0,0,0,0,0
PROFESSORA ROSA NEIDE,0,0,0,0,0
CAMILO CAPIBERIBE,0,0,0,0,0
LEUR LOMANTO JÚNIOR,0,0,0,0,0
MARCELO FREIXO,0,0,0,0,0
GUILHERME DERRITE,0,0,0,0,0
REGINALDO LOPES,0,0,0,0,0
PEDRO WESTPHALEN,0,0,0,0,0
JAQUELINE CASSOL,0,0,0,0,0
ABÍLIO SANTANA,0,0,0,0,0
FÁBIO HENRIQUE,0,0,0,0,0
JOAQUIM PASSARINHO,0,0,0,0,0
DIMAS FABIANO,0,0,3,0,3
MARCOS AURÉLIO SAMPAIO,0,0,0,0,0
JÚLIO DELGADO,0,0,0,0,0
EVAIR VIEIRA DE MELO,0,0,0,0,0
JHC,0,0,0,0,0
PAULO ABI-ACKEL,0,0,1,0,1
JOSÉ NUNES,0,0,0,1,1
PAULO FREIRE COSTA,0,0,0,0,0
JOSÉ ROCHA,0,0,0,1,1
LUCIANO DUCCI,0,0,0,0,0
PAULO GUEDES,0,0,0,0,0
CELSO MALDANER,1,0,0,2,3
NILSON PINTO,0,0,0,0,0
RUBENS BUENO,0,0,3,4,7
DAVID SOARES,0,0,0,0,0
DENIS BEZERRA,0,0,0,0,0
RENATA ABREU,0,0,0,0,0
JOSÉ RICARDO,0,0,0,0,0
MARLON SANTOS,0,0,0,0,0
VALDEVAN NOVENTA,0,0,0,0,0
AFONSO HAMM,0,0,1,0,1
ZECA DIRCEU,0,0,0,0,0
GUSTINHO RIBEIRO,0,0,0,0,0
BENEDITA DA SILVA,0,0,3,1,4
ALICE PORTUGAL,0,0,0,5,5
PAULO PIMENTA,1,0,1,1,3
GIOVANI CHERINI,0,0,1,1,2
ALESSANDRO MOLON,0,0,2,0,2
AROLDO MARTINS,0,0,0,0,0
ALIEL MACHADO,0,0,0,0,0
AFONSO FLORENCE,0,1,0,0,1
ALEXANDRE PADILHA,0,0,0,0,0
DRA. VANDA MILANI,0,0,0,0,0
IDILVAN ALENCAR,0,0,0,0,0
JÚNIOR MANO,0,0,0,0,0
ODAIR CUNHA,0,0,0,0,0
NATÁLIA BONAVIDES,0,0,0,0,0
TITO,0,0,0,0,0
CAPITÃO WAGNER,0,0,0,0,0
ALINE SLEUTJES,0,0,0,0,0
ÁTILA LIRA,0,0,0,0,0
FELIPE FRANCISCHINI,0,0,0,0,0
MARGARIDA SALOMÃO,1,0,0,0,1
DANRLEI DE DEUS HINTERHOLZ,0,1,1,0,2
PAULO AZI,0,0,0,0,0
SEBASTIÃO OLIVEIRA,0,0,0,0,0
ANGELA AMIN,0,0,0,0,0
PROFESSOR JOZIEL,0,0,0,0,0
DR. JAZIEL,0,0,0,0,0
MARINA SANTOS,0,0,0,0,0
JUNINHO DO PNEU,0,0,0,0,0
FLORDELIS,0,0,0,0,0
EDILÁZIO JÚNIOR,0,0,0,0,0
ROBERTO PESSOA,0,0,0,0,0
PROFESSORA DAYANE PIMENTEL,0,0,0,0,0
JOÃO H. CAMPOS,0,0,0,0,0
FÁBIO FARIA,0,0,0,0,0
ADRIANO DO BALDY,0,0,0,0,0
WALDENOR PEREIRA,0,0,0,0,0
OTONI DE PAULA,0,0,0,0,0
GLAUSTIN FOKUS,0,0,0,0,0
EDUARDO COSTA,0,0,0,0,0
PADRE JOÃO,0,0,0,0,0
RICARDO IZAR,0,0,3,2,5
PAULÃO,0,0,0,0,0
CAPITÃO ALBERTO NETO,0,0,0,0,0
GENECIAS NORONHA,0,0,0,0,0
GUILHERME MUSSI,0,0,0,2,2
HENRIQUE FONTANA,1,0,0,0,1
DANIEL SILVEIRA,0,0,0,0,0
MARCOS PEREIRA,0,0,0,0,0
CLARISSA GAROTINHO,0,0,0,0,0
AJ ALBUQUERQUE,0,0,0,0,0
WOLNEY QUEIROZ,1,0,0,0,1
OTACI NASCIMENTO,0,0,0,0,0
HERCULANO PASSOS,0,0,0,0,0
LUCIO MOSQUINI,0,0,0,0,0
ZÉ CARLOS,0,0,0,0,0
DANIEL COELHO,0,0,0,0,0
GILBERTO NASCIMENTO,0,0,0,0,0
RODRIGO DE CASTRO,0,0,0,0,0
EDNA HENRIQUE,0,0,0,0,0
ALEXANDRE SERFIOTIS,0,0,0,0,0
MARCELO BRUM,0,0,0,0,0
JOSEILDO RAMOS,0,0,0,0,0
GURGEL,0,0,0,0,0
GUTEMBERG REIS,0,0,0,0,0
DIEGO GARCIA,0,0,0,0,0
CARLOS ZARATTINI,0,0,0,0,0
IRACEMA PORTELLA,0,0,0,1,1
HAROLDO CATHEDRAL,0,0,0,0,0
JEFFERSON CAMPOS,0,0,0,0,0
ALÊ SILVA,0,0,0,0,0
SERGIO VIDIGAL,0,0,0,0,0
MAURO LOPES,1,0,1,0,2
MARIA ROSAS,0,0,0,0,0
RUI FALCÃO,0,0,0,0,0
MAGDA MOFATTO,0,0,1,0,1
ALUISIO MENDES,0,0,0,0,0
CARLOS JORDY,0,0,0,0,0
RICARDO BARROS,0,0,0,0,0
GLAUBER BRAGA,0,0,0,0,0
SUBTENENTE GONZAGA,1,0,2,1,4
CEZINHA DE MADUREIRA,0,0,0,0,0
SANTINI,0,0,0,0,0
ROGÉRIO PENINHA MENDONÇA,1,0,3,6,10
PASTOR EURICO,0,0,0,0,0
DANIELA DO WAGUINHO,0,0,0,0,0
TABATA AMARAL,0,0,0,0,0
PEDRO PAULO,0,0,1,3,4
VALTENIR PEREIRA,0,0,0,0,0
ALTINEU CÔRTES,0,0,0,0,0
FERNANDO COELHO FILHO,0,0,1,0,1
JOSIMAR MARANHÃOZINHO,0,0,0,0,0
DA VITORIA,0,0,0,0,0
CARLOS CHIODINI,0,0,0,0,0
OSSESIO SILVA,0,0,0,0,0
CHARLES FERNANDES,0,0,0,0,0
LAFAYETTE DE ANDRADA,0,0,0,0,0
RAIMUNDO COSTA,0,0,0,0,0
MOSES RODRIGUES,0,0,0,0,0
AGUINALDO RIBEIRO,0,0,0,0,0
CHARLLES EVANGELISTA,0,0,0,0,0
WLADIMIR GAROTINHO,0,0,0,0,0
DR. LUIZ ANTONIO TEIXEIRA JR.,0,0,0,0,0
ARNALDO JARDIM,0,0,0,1,1
SÓSTENES CAVALCANTE,0,0,0,0,0
CELSO RUSSOMANNO,0,0,0,0,0
SÂMIA BOMFIM,0,0,0,0,0
LEANDRE,0,0,0,0,0
LUISA CANZIANI,0,0,0,0,0
LUIZÃO GOULART,0,0,0,0,0
FERNANDA MELCHIONNA,0,0,0,0,0
HELDER SALOMÃO,0,0,0,0,0
REJANE DIAS,0,0,0,0,0
CÉLIO MOURA,0,0,0,0,0
MÁRCIO JERRY,0,0,0,0,0
PEDRO AUGUSTO BEZERRA,0,0,0,0,0
DELEGADO MARCELO FREITAS,0,0,0,0,0
LOESTER TRUTIS,0,0,0,0,0
EFRAIM FILHO,0,0,0,0,0
MILTON VIEIRA,0,0,0,0,0
VICENTINHO,0,0,1,4,5
LAERCIO OLIVEIRA,0,0,4,2,6
ALEXANDRE LEITE,0,0,2,1,3
FILIPE BARROS,0,0,0,0,0
LÍDICE DA MATA,0,0,0,1,1
CARLA ZAMBELLI,0,0,0,0,0
JOÃO CARLOS BACELAR,0,0,1,0,1
ROSE MODESTO,0,0,0,0,0
CHRISTINO AUREO,0,0,0,0,0
IVAN VALENTE,0,0,0,1,1
JUAREZ COSTA,0,0,0,0,0
CARMEN ZANOTTO,0,0,1,1,2
HUGO LEAL,0,0,4,1,5
FRANCISCO JR.,0,0,0,0,0
ROGÉRIO CORREIA,0,0,0,0,0
PAULO PEREIRA DA SILVA,0,0,1,0,1
PINHEIRINHO,0,0,0,0,0
LUIZA ERUNDINA,0,0,0,1,1
PROFESSORA MARCIVANIA,0,0,0,0,0
EDUARDO BISMARCK,0,0,0,0,0
SCHIAVINATO,0,0,0,0,0
GASTÃO VIEIRA,0,0,0,0,0
ASSIS CARVALHO,0,0,0,0,0
ENRICO MISASI,0,0,0,0,0
EDUARDO BRAIDE,0,0,0,0,0
FRED COSTA,0,0,0,0,0
FLÁVIA MORAIS,0,0,5,4,9
FÁBIO RAMALHO,1,0,1,0,2
TED CONTI,0,0,0,0,0
ELCIONE BARBALHO,1,0,0,0,1
JÚNIOR BOZZELLA,0,0,0,0,0
MARCELO ARO,0,0,0,0,0
SANDERSON,0,0,0,0,0
EDUARDO BOLSONARO,0,0,0,0,0
LEDA SADALA,0,0,0,0,0
MAJOR FABIANA,0,0,0,0,0
LUIZ ANTÔNIO CORRÊA,0,0,0,0,0
SORAYA SANTOS,0,0,0,0,0
AÉCIO NEVES,0,0,0,0,0
JOÃO ROMA,0,0,0,0,0
PEDRO CUNHA LIMA,0,0,0,0,0
ALENCAR SANTANA BRAGA,0,0,0,0,0
MARIANA CARVALHO,0,0,0,0,0
JULIO CESAR RIBEIRO,0,0,0,0,0
EDUARDO DA FONTE,0,0,1,2,3
BIA CAVASSA,0,0,0,0,0
DR. FREDERICO,0,0,0,0,0
CARLOS GOMES,0,0,0,0,0
AUREO RIBEIRO,0,0,0,0,0
ÁUREA CAROLINA,0,0,0,0,0
ANDRÉ FUFUCA,0,0,0,0,0
RENILDO CALHEIROS,0,0,0,0,0
DANILO CABRAL,0,0,2,0,2
PROFESSORA DORINHA SEABRA REZENDE,0,0,0,1,1
ARTHUR LIRA,0,0,0,0,0
BOSCO COSTA,0,0,0,0,0
DELEGADO ANTÔNIO FURTADO,0,0,0,0,0
FÁBIO TRAD,0,0,2,0,2
JOENIA WAPICHANA,0,0,0,0,0
DR. ZACHARIAS CALIL,0,0,0,0,0
EDUARDO BARBOSA,0,0,1,0,1
DIEGO ANDRADE,1,0,2,1,4
DRA. SORAYA MANATO,0,0,0,0,0
BRUNA FURLAN,0,0,1,0,1
DAVID MIRANDA,0,0,0,0,0
OTTO ALENCAR FILHO,0,0,0,0,0
ZÉ NETO,0,0,0,0,0
PAULO MAGALHÃES,0,0,1,1,2
JORGE BRAZ,0,0,0,0,0
MIGUEL LOMBARDI,0,0,0,0,0
HEITOR SCHUCH,0,0,0,0,0
TÚLIO GADÊLHA,0,0,0,0,0
SIDNEY LEITE,0,0,0,0,0
CÉLIO STUDART,0,0,0,0,0
BIRA DO PINDARÉ,0,0,0,0,0
ANDRÉ JANONES,0,0,0,0,0
CELINA LEÃO,0,0,0,0,0
ISNALDO BULHÕES JR.,0,0,0,0,0
ENÉIAS REIS,0,0,0,0,0
NORMA AYUB,0,0,0,0,0
FELIPE RIGONI,0,0,0,0,0
PASTOR SARGENTO ISIDÓRIO,0,0,0,0,0
BENES LEOCÁDIO,0,0,0,0,0
LIZIANE BAYER,0,0,0,0,0
STEFANO AGUIAR,0,0,1,0,1
MARCELO CALERO,0,0,0,0,0
LAURIETE,0,0,0,0,0
GERVÁSIO MAIA,0,0,0,0,0
RODRIGO COELHO,0,0,0,0,0
CHIQUINHO BRAZÃO,0,0,0,0,0
LUIZ LIMA,0,0,0,0,0
ROSANA VALLE,0,0,0,0,0
ALEXANDRE FROTA,0,0,0,0,0
ARLINDO CHINAGLIA,0,0,0,0,0
JÚNIOR FERRARI,0,0,0,0,0
MARCELO MORAES,0,0,0,0,0
LUIZ FLÁVIO GOMES,0,0,0,0,0
MAJOR VITOR HUGO,0,0,0,0,0
EMIDINHO MADEIRA,0,0,0,0,0
LOURIVAL GOMES,0,0,0,0,0
DR. LEONARDO,0,0,0,0,0
PAULO RAMOS,0,0,0,0,0
ADOLFO VIANA,0,0,0,0,0
LUCIANO BIVAR,0,0,0,0,0
BIBO NUNES,0,0,0,0,0
HÉLIO COSTA,0,0,0,0,0
EMANUEL PINHEIRO NETO,0,0,0,0,0
PASTOR GILDENEMYR,0,0,0,0,0
GIOVANI FELTES,0,0,0,0,0
LUCAS REDECKER,0,0,0,0,0
GENERAL GIRÃO,0,0,0,0,0
LUCAS GONZALEZ,0,0,0,0,0
ALCIDES RODRIGUES,0,0,0,0,0
RICARDO GUIDI,0,0,0,0,0
ANDRÉ FERREIRA,0,0,0,0,0
SARGENTO FAHUR,0,0,0,0,0
PEDRO LUPION,0,0,0,0,0
SERGIO TOLEDO,0,0,0,0,0
MARCO BERTAIOLLI,0,0,0,0,0
JOSÉ MEDEIROS,0,0,0,0,0
LÉO MOTTA,0,0,0,0,0
GILBERTO ABRAMO,0,0,0,0,0
ELI BORGES,0,0,0,0,0
JUNIOR LOURENÇO,0,0,0,0,0
FRANCO CARTAFINA,0,0,0,0,0
HELIO LOPES,0,0,0,0,0
MAURO NAZIF,0,0,0,0,0
LUIZ CARLOS MOTTA,0,0,0,0,0
POLICIAL KATIA SASTRE,0,0,0,0,0
WELITON PRADO,0,0,0,0,0
JOSE MARIO SCHREINER,0,0,0,0,0
AMARO NETO,0,0,0,0,0
MAURO BENEVIDES FILHO,0,0,0,0,0
LUIS TIBÉ,0,0,0,0,0
NEWTON CARDOSO JR,0,0,0,0,0
IGOR KANNÁRIO,0,0,0,0,0
ALEXIS FONTEYNE,0,0,0,0,0
GENERAL PETERNELLI,0,0,0,0,0
VILSON DA FETAEMG,0,0,0,0,0
LÉO MORAES,0,0,0,0,0
CORONEL TADEU,0,0,0,0,0
FELÍCIO LATERÇA,0,0,0,0,0
TIRIRICA,1,0,0,0,1
MERLONG SOLANO,0,0,0,0,0
KIM KATAGUIRI,0,0,0,0,0
CHRIS TONIETTO,0,0,0,0,0
BIA KICIS,0,0,0,0,0
JOICE HASSELMANN,0,0,0,0,0
CORONEL ARMANDO,0,0,0,0,0
HERMES PARCIANELLO,0,0,0,0,0
GUIGA PEIXOTO,0,0,0,0,0
MARCIO ALVINO,0,0,0,0,0
LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,0,0,0,0,0
RODRIGO MAIA,1,0,3,0,4
GUSTAVO FRUET,0,0,0,0,0
SÉRGIO BRITO,0,0,1,0,1
DELEGADO WALDIR,0,0,0,0,0
DR. LUIZ OVANDO,0,0,0,0,0
CARLOS BEZERRA,0,0,9,10,19
GREYCE ELIAS,0,0,0,0,0
RODRIGO AGOSTINHO,0,0,0,0,0
CAROLINE DE TONI,0,0,0,0,0
ABOU ANNI,0,0,0,0,0
JOSIAS GOMES,0,0,0,0,0
PROFESSOR ISRAEL BATISTA,0,0,0,0,0
FELIPE CARRERAS,0,0,0,0,0
DANIEL TRZECIAK,0,0,0,0,0
CAPITÃO FÁBIO ABREU,0,0,0,0,0
RUBENS PEREIRA JÚNIOR,0,0,0,0,0
ANÍBAL GOMES,0,0,0,0,0
CABO JUNIO AMARAL,0,0,0,0,0
NELSON BARBUDO,0,0,0,0,0
ELIAS VAZ,0,0,0,0,0
ADRIANA VENTURA,0,0,0,0,0
PAULO GANIME,0,0,0,0,0
GILSON MARQUES,0,0,0,0,0
FLÁVIA ARRUDA,0,0,0,0,0
VINICIUS POIT,0,0,0,0,0
LUIS MIRANDA,0,0,0,0,0
MARCEL VAN HATTEM,0,0,0,0,0
JOSÉ NELTO,0,0,0,0,0
COVATTI FILHO,0,0,0,0,0
PAES LANDIM,0,0,0,0,0
PAULO EDUARDO MARTINS,0,0,0,0,0
TIAGO MITRAUD,0,0,0,0,0
SIMPLÍCIO ARAÚJO,1,0,0,0,1
SANDRO ALEX,0,0,1,2,3
HERCÍLIO COELHO DINIZ,0,0,0,0,0
OSMAR TERRA,0,0,0,0,0
PAULO FOLETTO,0,0,0,0,0
PAULA BELMONTE,0,0,0,0,0
TEREZA CRISTINA,0,0,0,0,0
MARCELO ÁLVARO ANTÔNIO,0,0,0,0,0
ONYX LORENZONI,0,1,5,4,10
